FID,FID_Fish4,Id,POINT_X,POINT_Y,FID_Unconv,NAME,SHAPEAREA,OBJECTID,NEAR_FID,NEAR_DIST,NEAR_ANGLE,NEAR_FC,RASTERVALU
0,144,0,-120.017214253999995,54.943572002099998,0,Montney Basin,26607264166.200000762939453,4,151,0.226129425115000,-163.080812968000004,Faults - BCOGC Pool boundary faults,1.3543400
1,306,0,-120.062130018000005,54.956469356299998,0,Montney Basin,26607264166.200000762939453,4,151,0.188630588239000,-155.338905923999988,Faults - BCOGC Pool boundary faults,1.3642900
2,307,0,-120.039672135999993,54.956469356299998,0,Montney Basin,26607264166.200000762939453,4,151,0.209250044924000,-157.905561226000003,Faults - BCOGC Pool boundary faults,1.3602700
3,308,0,-120.017214253999995,54.956469356299998,0,Montney Basin,26607264166.200000762939453,4,151,0.230213763096000,-160.008374072999999,Faults - BCOGC Pool boundary faults,1.3595901
4,468,0,-120.107045782000000,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,151,0.156189813521000,-144.093681188999994,Faults - BCOGC Pool boundary faults,1.3792500
5,469,0,-120.084587900000002,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,151,0.174876855115000,-148.412949332000011,Faults - BCOGC Pool boundary faults,1.3760999
6,470,0,-120.062130018000005,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,151,0.194363792922000,-151.882726378000001,Faults - BCOGC Pool boundary faults,1.3730900
7,471,0,-120.039672135999993,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,151,0.214432661878000,-154.711863351999995,Faults - BCOGC Pool boundary faults,1.3662300
8,472,0,-120.017214253999995,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,151,0.234934377855000,-157.052139143999995,Faults - BCOGC Pool boundary faults,1.3660700
9,629,0,-120.174419428999997,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,151,0.120062301350000,-119.508224530999996,Faults - BCOGC Pool boundary faults,1.3755701
10,630,0,-120.151961546999999,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,151,0.132572523553000,-127.986066277999996,Faults - BCOGC Pool boundary faults,1.3817199
11,631,0,-120.129503665000001,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,151,0.147460858312000,-134.880169396000014,Faults - BCOGC Pool boundary faults,1.3856200
12,632,0,-120.107045782000000,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,151,0.164081225019000,-140.445707125000013,Faults - BCOGC Pool boundary faults,1.3864300
13,633,0,-120.084587900000002,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,151,0.181959624672000,-144.953602444000012,Faults - BCOGC Pool boundary faults,1.3837301
14,634,0,-120.062130018000005,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,151,0.200760241469000,-148.636638588000011,Faults - BCOGC Pool boundary faults,1.3808000
