FID,FID_BCHFWe,Well_ID,LATITUDE,LONGITUDE,FID_Unconv,NAME,SHAPEAREA,OBJECTID,RASTERVALU
0,4348,4349.000000000000000,54.998463000000001,-120.118317000000005,0,Montney Basin,26607264166.200000762939453,4,3589.4599609
1,4349,4350.000000000000000,54.998463000000001,-120.118317000000005,0,Montney Basin,26607264166.200000762939453,4,3589.4599609
2,4350,4351.000000000000000,54.998463000000001,-120.118317000000005,0,Montney Basin,26607264166.200000762939453,4,3589.4599609
3,4351,4352.000000000000000,54.998463000000001,-120.118317000000005,0,Montney Basin,26607264166.200000762939453,4,3589.4599609
4,2615,2616.000000000000000,55.033563999999998,-120.026317000000006,0,Montney Basin,26607264166.200000762939453,4,3585.1101074
5,4192,4193.000000000000000,55.063518999999999,-120.202057999999994,0,Montney Basin,26607264166.200000762939453,4,3544.6298828
6,3064,3065.000000000000000,55.090840000000000,-120.061385000000001,0,Montney Basin,26607264166.200000762939453,4,3539.9799805
7,1876,1877.000000000000000,55.095047000000001,-120.091346999999999,0,Montney Basin,26607264166.200000762939453,4,3536.5200195
8,2527,2528.000000000000000,55.103242000000002,-120.059843000000001,0,Montney Basin,26607264166.200000762939453,4,3530.6000977
9,3174,3175.000000000000000,55.107967000000002,-120.049786999999995,0,Montney Basin,26607264166.200000762939453,4,3526.8701172
10,2588,2589.000000000000000,55.108615999999998,-120.072040000000001,0,Montney Basin,26607264166.200000762939453,4,3530.6000977
11,1976,1977.000000000000000,55.111761999999999,-120.190917999999996,0,Montney Basin,26607264166.200000762939453,4,3550.9299316
12,5415,5416.000000000000000,55.112473999999999,-120.062742999999998,0,Montney Basin,26607264166.200000762939453,4,3530.6000977
13,3286,3287.000000000000000,55.113025000000000,-120.372124999999997,0,Montney Basin,26607264166.200000762939453,4,3549.6499023
14,3287,3288.000000000000000,55.113025000000000,-120.372124999999997,0,Montney Basin,26607264166.200000762939453,4,3549.6499023
15,3288,3289.000000000000000,55.113025000000000,-120.372124999999997,0,Montney Basin,26607264166.200000762939453,4,3549.6499023
16,3289,3290.000000000000000,55.113025000000000,-120.372124999999997,0,Montney Basin,26607264166.200000762939453,4,3549.6499023
17,3290,3291.000000000000000,55.113025000000000,-120.372124999999997,0,Montney Basin,26607264166.200000762939453,4,3549.6499023
18,3253,3254.000000000000000,55.113478999999998,-120.063570999999996,0,Montney Basin,26607264166.200000762939453,4,3530.6000977
19,2652,2653.000000000000000,55.118482000000000,-120.087483000000006,0,Montney Basin,26607264166.200000762939453,4,3533.1101074
20,5278,5279.000000000000000,55.118763000000001,-120.212030999999996,0,Montney Basin,26607264166.200000762939453,4,3550.2700195
21,2637,2638.000000000000000,55.120567000000001,-120.184361999999993,0,Montney Basin,26607264166.200000762939453,4,3567.8400879
22,2651,2652.000000000000000,55.120677000000001,-120.207960999999997,0,Montney Basin,26607264166.200000762939453,4,3558.2199707
23,3318,3319.000000000000000,55.120896000000002,-120.172990999999996,0,Montney Basin,26607264166.200000762939453,4,3567.8400879
24,3320,3321.000000000000000,55.122585999999998,-120.050180999999995,0,Montney Basin,26607264166.200000762939453,4,3515.8200684
25,3330,3331.000000000000000,55.123218000000001,-120.064122999999995,0,Montney Basin,26607264166.200000762939453,4,3522.5900879
26,3997,3998.000000000000000,55.123274000000002,-120.079437999999996,0,Montney Basin,26607264166.200000762939453,4,3533.1101074
27,5297,5298.000000000000000,55.125010000000003,-120.070809999999994,0,Montney Basin,26607264166.200000762939453,4,3522.5900879
28,2089,2090.000000000000000,55.125560000000000,-120.164829999999995,0,Montney Basin,26607264166.200000762939453,4,3567.8400879
29,2090,2091.000000000000000,55.125560000000000,-120.164829999999995,0,Montney Basin,26607264166.200000762939453,4,3567.8400879
30,2739,2740.000000000000000,55.126531000000000,-120.100773000000004,0,Montney Basin,26607264166.200000762939453,4,3547.1999512
31,2720,2721.000000000000000,55.126635999999998,-120.074044000000001,0,Montney Basin,26607264166.200000762939453,4,3533.1101074
32,3397,3398.000000000000000,55.130527000000001,-120.063868999999997,0,Montney Basin,26607264166.200000762939453,4,3522.5900879
33,3372,3373.000000000000000,55.130783999999998,-120.135889000000006,0,Montney Basin,26607264166.200000762939453,4,3562.0600586
34,4073,4074.000000000000000,55.131498000000001,-120.091795000000005,0,Montney Basin,26607264166.200000762939453,4,3533.1101074
35,3402,3403.000000000000000,55.133060999999998,-120.445901000000006,0,Montney Basin,26607264166.200000762939453,4,3533.3200684
36,3403,3404.000000000000000,55.133060999999998,-120.445901000000006,0,Montney Basin,26607264166.200000762939453,4,3533.3200684
37,2769,2770.000000000000000,55.133623999999998,-120.038839999999993,0,Montney Basin,26607264166.200000762939453,4,3515.8200684
38,2164,2165.000000000000000,55.135705000000002,-120.089287999999996,0,Montney Basin,26607264166.200000762939453,4,3533.1101074
39,4104,4105.000000000000000,55.138058000000001,-120.028661999999997,0,Montney Basin,26607264166.200000762939453,4,3515.8200684
40,3460,3461.000000000000000,55.140408000000001,-120.188744000000000,0,Montney Basin,26607264166.200000762939453,4,3566.8798828
41,4135,4136.000000000000000,55.140787000000003,-120.094342999999995,0,Montney Basin,26607264166.200000762939453,4,3528.3000488
42,3438,3439.000000000000000,55.141094000000002,-120.136188000000004,0,Montney Basin,26607264166.200000762939453,4,3579.6499023
43,2871,2872.000000000000000,55.141624999999998,-120.085391000000001,0,Montney Basin,26607264166.200000762939453,4,3528.3000488
44,2888,2889.000000000000000,55.142195000000001,-120.359634999999997,0,Montney Basin,26607264166.200000762939453,4,3545.3701172
45,2889,2890.000000000000000,55.142195000000001,-120.359634999999997,0,Montney Basin,26607264166.200000762939453,4,3545.3701172
46,2232,2233.000000000000000,55.143884999999997,-120.089765000000000,0,Montney Basin,26607264166.200000762939453,4,3528.3000488
47,2233,2234.000000000000000,55.143884999999997,-120.089765000000000,0,Montney Basin,26607264166.200000762939453,4,3528.3000488
48,2208,2209.000000000000000,55.145232999999998,-120.180763999999996,0,Montney Basin,26607264166.200000762939453,4,3590.4099121
49,2858,2859.000000000000000,55.145677999999997,-120.071952999999993,0,Montney Basin,26607264166.200000762939453,4,3513.3400879
50,3515,3516.000000000000000,55.146104999999999,-120.072552999999999,0,Montney Basin,26607264166.200000762939453,4,3513.3400879
51,3544,3545.000000000000000,55.146642999999997,-120.249669999999995,0,Montney Basin,26607264166.200000762939453,4,3548.2399902
52,4172,4173.000000000000000,55.146698000000001,-120.265083000000004,0,Montney Basin,26607264166.200000762939453,4,3545.9599609
53,4189,4190.000000000000000,55.146839999999997,-120.192916999999994,0,Montney Basin,26607264166.200000762939453,4,3566.8798828
54,3506,3507.000000000000000,55.149045000000001,-120.058553000000003,0,Montney Basin,26607264166.200000762939453,4,3513.3400879
55,4193,4194.000000000000000,55.149510999999997,-120.078275000000005,0,Montney Basin,26607264166.200000762939453,4,3528.3000488
56,4194,4195.000000000000000,55.149510999999997,-120.078275000000005,0,Montney Basin,26607264166.200000762939453,4,3528.3000488
57,2277,2278.000000000000000,55.152982000000002,-120.068140000000000,0,Montney Basin,26607264166.200000762939453,4,3513.3400879
58,2274,2275.000000000000000,55.153151000000001,-120.054260999999997,0,Montney Basin,26607264166.200000762939453,4,3513.3400879
59,2269,2270.000000000000000,55.153283000000002,-120.044811999999993,0,Montney Basin,26607264166.200000762939453,4,3504.3601074
60,2932,2933.000000000000000,55.153933000000002,-120.096919000000000,0,Montney Basin,26607264166.200000762939453,4,3550.9499512
61,2900,2901.000000000000000,55.154072999999997,-120.133722000000006,0,Montney Basin,26607264166.200000762939453,4,3579.6499023
62,4245,4246.000000000000000,55.154164000000002,-120.044056999999995,0,Montney Basin,26607264166.200000762939453,4,3504.3601074
63,5656,5657.000000000000000,55.154234000000002,-120.229526000000007,0,Montney Basin,26607264166.200000762939453,4,3553.4899902
64,3593,3594.000000000000000,55.154542999999997,-120.073350000000005,0,Montney Basin,26607264166.200000762939453,4,3513.3400879
65,3622,3623.000000000000000,55.156005999999998,-120.111762999999996,0,Montney Basin,26607264166.200000762939453,4,3550.9499512
66,4237,4238.000000000000000,55.156069000000002,-120.155990000000003,0,Montney Basin,26607264166.200000762939453,4,3600.1499023
67,3623,3624.000000000000000,55.156815000000002,-120.113757000000007,0,Montney Basin,26607264166.200000762939453,4,3550.9499512
68,4273,4274.000000000000000,55.157698000000003,-120.218468999999999,0,Montney Basin,26607264166.200000762939453,4,3553.4899902
69,4253,4254.000000000000000,55.157972999999998,-120.052105999999995,0,Montney Basin,26607264166.200000762939453,4,3513.3400879
70,3024,3025.000000000000000,55.158309000000003,-120.122945000000001,0,Montney Basin,26607264166.200000762939453,4,3579.6499023
71,3014,3015.000000000000000,55.158645000000000,-120.097926999999999,0,Montney Basin,26607264166.200000762939453,4,3550.9499512
72,3007,3008.000000000000000,55.159488000000003,-120.210965000000002,0,Montney Basin,26607264166.200000762939453,4,3553.4899902
73,2316,2317.000000000000000,55.161270000000002,-120.142470000000003,0,Montney Basin,26607264166.200000762939453,4,3637.6699219
74,3660,3661.000000000000000,55.161664999999999,-120.078440999999998,0,Montney Basin,26607264166.200000762939453,4,3516.8999023
75,2379,2380.000000000000000,55.161748000000003,-120.116605000000007,0,Montney Basin,26607264166.200000762939453,4,3546.6599121
76,4312,4313.000000000000000,55.163066000000001,-120.044276999999994,0,Montney Basin,26607264166.200000762939453,4,3490.6398926
77,5679,5680.000000000000000,55.163440000000001,-120.243897000000004,0,Montney Basin,26607264166.200000762939453,4,3546.9499512
78,4300,4301.000000000000000,55.163890000000002,-120.153925999999998,0,Montney Basin,26607264166.200000762939453,4,3637.6699219
79,4320,4321.000000000000000,55.164883000000003,-120.051635000000005,0,Montney Basin,26607264166.200000762939453,4,3499.8200684
80,1801,1802.000000000000000,55.166767000000000,-120.068828999999994,0,Montney Basin,26607264166.200000762939453,4,3499.8200684
81,2422,2423.000000000000000,55.167399000000003,-120.112720999999993,0,Montney Basin,26607264166.200000762939453,4,3546.6599121
82,2407,2408.000000000000000,55.167529999999999,-120.186938999999995,0,Montney Basin,26607264166.200000762939453,4,3569.8898926
83,1813,1814.000000000000000,55.168100000000003,-120.478696999999997,0,Montney Basin,26607264166.200000762939453,4,3538.6899414
84,1814,1815.000000000000000,55.168100000000003,-120.478696999999997,0,Montney Basin,26607264166.200000762939453,4,3538.6899414
85,1815,1816.000000000000000,55.168100000000003,-120.478696999999997,0,Montney Basin,26607264166.200000762939453,4,3538.6899414
86,2391,2392.000000000000000,55.168362000000002,-120.146271999999996,0,Montney Basin,26607264166.200000762939453,4,3637.6699219
87,1794,1795.000000000000000,55.171278999999998,-120.177162999999993,0,Montney Basin,26607264166.200000762939453,4,3614.9199219
