FID,FID_Fish4,Id,POINT_X,POINT_Y,FID_Unconv,NAME,SHAPEAREA,OBJECTID,RASTERVALU
0,144,0,-120.017214253999995,54.943572002099998,0,Montney Basin,26607264166.200000762939453,4,3623.4599609
1,306,0,-120.062130018000005,54.956469356299998,0,Montney Basin,26607264166.200000762939453,4,3656.4199219
2,307,0,-120.039672135999993,54.956469356299998,0,Montney Basin,26607264166.200000762939453,4,3650.5300293
3,308,0,-120.017214253999995,54.956469356299998,0,Montney Basin,26607264166.200000762939453,4,3628.1599121
4,468,0,-120.107045782000000,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,3648.8798828
5,469,0,-120.084587900000002,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,3639.8798828
6,470,0,-120.062130018000005,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,3653.4499512
7,471,0,-120.039672135999993,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,3646.0200195
8,472,0,-120.017214253999995,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,3618.2399902
9,629,0,-120.174419428999997,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,3663.6599121
10,630,0,-120.151961546999999,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,3682.3999023
11,631,0,-120.129503665000001,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,3676.5400391
12,632,0,-120.107045782000000,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,3648.8798828
13,633,0,-120.084587900000002,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,3639.8798828
14,634,0,-120.062130018000005,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,3653.4499512
15,635,0,-120.039672135999993,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,3646.0200195
16,636,0,-120.017214253999995,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,3618.2399902
17,791,0,-120.219335193000006,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,3648.8601074
18,792,0,-120.196877310999994,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,3651.9899902
19,793,0,-120.174419428999997,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,3666.6699219
20,794,0,-120.151961546999999,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,3699.2199707
21,795,0,-120.129503665000001,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,3695.1699219
22,796,0,-120.107045782000000,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,3647.3500977
23,797,0,-120.084587900000002,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,3622.2299805
24,798,0,-120.062130018000005,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,3619.6599121
25,799,0,-120.039672135999993,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,3610.0400391
26,800,0,-120.017214253999995,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,3592.6799316
27,952,0,-120.286708838999999,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,3635.3400879
28,953,0,-120.264250957000002,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,3638.9799805
29,954,0,-120.241793075000004,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,3648.8601074
30,955,0,-120.219335193000006,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,3648.8601074
31,956,0,-120.196877310999994,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,3651.9899902
32,957,0,-120.174419428999997,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,3666.6699219
33,958,0,-120.151961546999999,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,3699.2199707
34,959,0,-120.129503665000001,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,3695.1699219
35,960,0,-120.107045782000000,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,3647.3500977
36,961,0,-120.084587900000002,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,3622.2299805
37,962,0,-120.062130018000005,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,3619.6599121
38,963,0,-120.039672135999993,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,3610.0400391
39,964,0,-120.017214253999995,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,3592.6799316
40,1114,0,-120.331624603999998,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,3639.1298828
41,1115,0,-120.309166720999997,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,3640.6799316
42,1116,0,-120.286708838999999,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,3638.1999512
43,1117,0,-120.264250957000002,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,3642.8798828
44,1118,0,-120.241793075000004,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,3647.9699707
45,1119,0,-120.219335193000006,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,3647.9699707
46,1120,0,-120.196877310999994,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,3651.3300781
47,1121,0,-120.174419428999997,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,3653.6899414
48,1122,0,-120.151961546999999,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,3663.5700684
49,1123,0,-120.129503665000001,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,3657.9599609
50,1124,0,-120.107045782000000,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,3622.2500000
51,1125,0,-120.084587900000002,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,3593.4299316
52,1126,0,-120.062130018000005,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,3577.9199219
53,1127,0,-120.039672135999993,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,3566.5000000
54,1128,0,-120.017214253999995,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,3559.1101074
55,1276,0,-120.376540367999993,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,3680.3200684
56,1277,0,-120.354082485999996,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,3667.2600098
57,1278,0,-120.331624603999998,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,3639.1298828
58,1279,0,-120.309166720999997,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,3640.6799316
59,1280,0,-120.286708838999999,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,3638.1999512
60,1281,0,-120.264250957000002,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,3642.8798828
61,1282,0,-120.241793075000004,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,3647.9699707
62,1283,0,-120.219335193000006,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,3647.9699707
63,1284,0,-120.196877310999994,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,3651.3300781
64,1285,0,-120.174419428999997,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,3653.6899414
65,1286,0,-120.151961546999999,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,3663.5700684
66,1287,0,-120.129503665000001,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,3657.9599609
67,1288,0,-120.107045782000000,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,3622.2500000
68,1289,0,-120.084587900000002,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,3593.4299316
69,1290,0,-120.062130018000005,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,3577.9199219
70,1291,0,-120.039672135999993,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,3566.5000000
71,1292,0,-120.017214253999995,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,3559.1101074
72,1438,0,-120.421456132000003,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,3756.8100586
73,1439,0,-120.398998250000005,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,3691.1499023
74,1440,0,-120.376540367999993,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,3675.0400391
75,1441,0,-120.354082485999996,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,3635.1000977
76,1442,0,-120.331624603999998,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,3641.2500000
77,1443,0,-120.309166720999997,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,3647.3000488
78,1444,0,-120.286708838999999,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,3642.1799316
79,1445,0,-120.264250957000002,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,3649.1899414
80,1446,0,-120.241793075000004,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,3663.1398926
81,1447,0,-120.219335193000006,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,3663.1398926
82,1448,0,-120.196877310999994,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,3655.8100586
83,1449,0,-120.174419428999997,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,3644.0300293
84,1450,0,-120.151961546999999,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,3634.3300781
85,1451,0,-120.129503665000001,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,3616.5700684
86,1452,0,-120.107045782000000,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,3588.0600586
87,1453,0,-120.084587900000002,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,3558.4299316
88,1454,0,-120.062130018000005,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,3534.9099121
89,1455,0,-120.039672135999993,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,3527.1201172
90,1456,0,-120.017214253999995,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,3521.9399414
91,1600,0,-120.466371895999998,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,3817.7600098
92,1601,0,-120.443914014000001,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,3766.1000977
93,1602,0,-120.421456132000003,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,3689.1699219
94,1603,0,-120.398998250000005,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,3670.3400879
95,1604,0,-120.376540367999993,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,3659.9899902
96,1605,0,-120.354082485999996,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,3642.3701172
97,1606,0,-120.331624603999998,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,3656.4699707
98,1607,0,-120.309166720999997,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,3659.0000000
99,1608,0,-120.286708838999999,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,3645.7800293
100,1609,0,-120.264250957000002,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,3650.1298828
101,1610,0,-120.241793075000004,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,3687.8898926
102,1611,0,-120.219335193000006,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,3687.8898926
103,1612,0,-120.196877310999994,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,3665.9099121
104,1613,0,-120.174419428999997,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,3661.4399414
105,1614,0,-120.151961546999999,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,3631.0100098
106,1615,0,-120.129503665000001,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,3591.6499023
107,1616,0,-120.107045782000000,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,3561.4699707
108,1617,0,-120.084587900000002,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,3524.1201172
109,1618,0,-120.062130018000005,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,3498.1599121
110,1619,0,-120.039672135999993,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,3494.8400879
111,1620,0,-120.017214253999995,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,3500.6599121
112,1763,0,-120.488829777999996,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,3878.0000000
113,1764,0,-120.466371895999998,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,3817.7600098
114,1765,0,-120.443914014000001,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,3766.1000977
115,1766,0,-120.421456132000003,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,3689.1699219
116,1767,0,-120.398998250000005,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,3670.3400879
117,1768,0,-120.376540367999993,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,3659.9899902
118,1769,0,-120.354082485999996,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,3642.3701172
119,1770,0,-120.331624603999998,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,3656.4699707
120,1771,0,-120.309166720999997,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,3659.0000000
121,1772,0,-120.286708838999999,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,3645.7800293
122,1773,0,-120.264250957000002,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,3650.1298828
123,1774,0,-120.241793075000004,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,3687.8898926
124,1775,0,-120.219335193000006,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,3687.8898926
125,1776,0,-120.196877310999994,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,3665.9099121
126,1777,0,-120.174419428999997,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,3661.4399414
127,1778,0,-120.151961546999999,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,3631.0100098
128,1779,0,-120.129503665000001,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,3591.6499023
129,1780,0,-120.107045782000000,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,3561.4699707
130,1781,0,-120.084587900000002,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,3524.1201172
131,1782,0,-120.062130018000005,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,3498.1599121
132,1783,0,-120.039672135999993,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,3494.8400879
133,1784,0,-120.017214253999995,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,3500.6599121
134,1925,0,-120.533745542000005,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4,3894.6599121
135,1926,0,-120.511287659999994,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4,3862.8000488
136,1927,0,-120.488829777999996,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4,3799.2199707
137,1928,0,-120.466371895999998,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4,3765.2299805
138,1929,0,-120.443914014000001,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4,3690.2099609
139,1930,0,-120.421456132000003,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4,3668.6201172
140,1931,0,-120.398998250000005,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4,3655.8100586
