X,Y,Montney-TVD
55.64490294,-120.1430942,2421.2
55.64489553,-120.1426989,2423.6
55.66221063,-120.1563311,2480
55.64426218,-120.278661,2531.9
55.6738682,-120.2909814,2376
55.6676596,-120.7323784,2842.3
55.66592838,-120.8400688,3023.5
55.66412743,-120.8547313,3025.4
55.6640637,-120.8549414,3045
55.68927321,-120.9222814,2947.1
55.68925328,-120.9223254,2947.2
55.68678004,-120.8567363,2965
55.70307599,-120.8028668,2825.2
55.70536968,-120.8069386,2860
55.69917053,-120.8237401,2887.6
55.713548,-120.922408,2777.1
55.70906389,-120.9046774,2802
55.71359382,-120.9225664,2777.7
55.71976987,-120.8069881,2821.7
55.66165134,-121.0262331,3097
55.6605264,-121.0256363,3096.4
55.66058098,-121.0255096,3096.6
55.70176571,-120.9631909,2836.3
55.79427786,-120.0151325,2000.2
55.80101661,-120.0063397,1983.7
55.78045264,-120.0333207,2024.4
55.80720785,-120.0749511,1988.4
55.72414134,-120.2126042,2210.8
55.7699276,-120.505394,2398
55.79260035,-120.6361493,2329.6
55.80957796,-120.5333157,2356.1
55.75374476,-120.7896559,2643.7
55.73686011,-120.6453835,2541.2
55.80094529,-120.7179265,2384.7
55.81164455,-120.7426639,2371
55.73692371,-120.8560495,2652.3
55.73124805,-120.9143514,2688.3
55.74443257,-120.8346156,2720
55.74343473,-120.8257007,2702.1
55.74641772,-120.8383791,2679.6
55.74940053,-120.8159096,2655.1
55.76116567,-120.826668,2570
55.76984719,-120.9066144,2648.4
55.78951146,-120.9677514,2609.4
55.78954201,-120.9677514,2607.2
55.78957437,-120.9677514,2604
55.78424765,-120.8661557,2553.9
55.78428001,-120.8661555,2551.5
55.79289554,-120.8237665,2503.1
55.79008379,-120.8650469,2534
55.78806065,-120.8873052,2582.4
55.78452019,-120.8666336,2550.8
55.78473139,-120.8666332,2548
55.78431326,-120.8661553,2546.2
55.78469903,-120.8666334,2550.2
55.78227616,-120.9137082,2536.8
55.78425054,-120.8666324,2555.9
55.78442941,-120.8666338,2550.7
55.794298,-120.8984746,2577.8
55.78960131,-120.96775,2600.2
55.78966694,-120.9677513,2594.9
55.80025169,-120.8732565,2527.9
55.80817945,-120.8748604,2501
55.80721196,-120.8914862,2564.5
55.7232995,-120.9514055,2754.4
55.7320416,-120.9895321,2741.3
55.74693104,-121.0977202,2785
55.76042797,-121.0753911,2737.6
55.78015869,-121.0500979,2676
