FID,FID_Fish4,Id,POINT_X,POINT_Y,FID_Unconv,NAME,SHAPEAREA,OBJECTID,RASTERVALU
0,468,0,-120.107045782000000,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,42.0617981
1,469,0,-120.084587900000002,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,41.5819016
2,470,0,-120.062130018000005,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,41.1692009
3,471,0,-120.039672135999993,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,40.1320992
4,472,0,-120.017214253999995,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,40.0278015
5,629,0,-120.174419428999997,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,44.1082001
6,630,0,-120.151961546999999,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,43.6878014
7,631,0,-120.129503665000001,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,43.2061996
8,632,0,-120.107045782000000,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,42.0617981
9,633,0,-120.084587900000002,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,41.5819016
10,634,0,-120.062130018000005,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,41.1692009
11,635,0,-120.039672135999993,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,40.1320992
12,636,0,-120.017214253999995,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,40.0278015
13,791,0,-120.219335193000006,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,46.8703003
14,792,0,-120.196877310999994,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,45.0875015
15,793,0,-120.174419428999997,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,44.2196007
16,794,0,-120.151961546999999,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,43.7331009
17,795,0,-120.129503665000001,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,43.2412987
18,796,0,-120.107045782000000,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,41.7686005
19,797,0,-120.084587900000002,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,41.1568985
20,798,0,-120.062130018000005,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,40.6421013
21,799,0,-120.039672135999993,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,39.5774994
22,800,0,-120.017214253999995,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,39.5145988
23,952,0,-120.286708838999999,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,46.5531998
24,953,0,-120.264250957000002,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,46.6162987
25,954,0,-120.241793075000004,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,46.9002991
26,955,0,-120.219335193000006,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,46.8758011
27,956,0,-120.196877310999994,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,45.2710991
28,957,0,-120.174419428999997,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,44.3757019
29,958,0,-120.151961546999999,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,43.8162994
30,959,0,-120.129503665000001,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,43.2141991
31,960,0,-120.107045782000000,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,41.3958015
32,961,0,-120.084587900000002,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,40.5903015
33,962,0,-120.062130018000005,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,39.9308014
34,963,0,-120.039672135999993,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,39.3171997
35,964,0,-120.017214253999995,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,39.1996994
36,1114,0,-120.331624603999998,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,46.4006996
37,1115,0,-120.309166720999997,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,46.4202003
38,1116,0,-120.286708838999999,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,46.6302986
39,1117,0,-120.264250957000002,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,46.6408005
40,1118,0,-120.241793075000004,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,46.9061012
41,1119,0,-120.219335193000006,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,46.8790016
42,1120,0,-120.196877310999994,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,45.4855995
43,1121,0,-120.174419428999997,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,44.5885010
44,1122,0,-120.151961546999999,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,43.9555016
45,1123,0,-120.129503665000001,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,43.2240982
46,1124,0,-120.107045782000000,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,40.9163017
47,1125,0,-120.084587900000002,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,39.8103981
48,1126,0,-120.062130018000005,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,38.9360008
49,1127,0,-120.039672135999993,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,38.3469009
50,1128,0,-120.017214253999995,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,38.4127998
51,1276,0,-120.376540367999993,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,45.6146011
52,1277,0,-120.354082485999996,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,45.6632004
53,1278,0,-120.331624603999998,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,46.4006996
54,1279,0,-120.309166720999997,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,46.4202003
55,1280,0,-120.286708838999999,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,46.6302986
56,1281,0,-120.264250957000002,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,46.6408005
57,1282,0,-120.241793075000004,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,46.9061012
58,1283,0,-120.219335193000006,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,46.8790016
59,1284,0,-120.196877310999994,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,45.4855995
60,1285,0,-120.174419428999997,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,44.5885010
61,1286,0,-120.151961546999999,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,43.9555016
62,1287,0,-120.129503665000001,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,43.2240982
63,1288,0,-120.107045782000000,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,40.9163017
64,1289,0,-120.084587900000002,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,39.8103981
