FID,FID_Fish4,Id,POINT_X,POINT_Y,FID_Unconv,NAME,SHAPEAREA,OBJECTID,RASTERVALU
0,144,0,-120.017214253999995,54.943572002099998,0,Montney Basin,26607264166.200000762939453,4,3752.4499512
1,306,0,-120.062130018000005,54.956469356299998,0,Montney Basin,26607264166.200000762939453,4,3696.3999023
2,307,0,-120.039672135999993,54.956469356299998,0,Montney Basin,26607264166.200000762939453,4,3729.5600586
3,308,0,-120.017214253999995,54.956469356299998,0,Montney Basin,26607264166.200000762939453,4,3752.4499512
4,468,0,-120.107045782000000,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,3610.0000000
5,469,0,-120.084587900000002,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,3634.2700195
6,470,0,-120.062130018000005,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,3661.8999023
7,471,0,-120.039672135999993,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,3688.5400391
8,472,0,-120.017214253999995,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,3707.8200684
9,629,0,-120.174419428999997,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,3557.7299805
10,630,0,-120.151961546999999,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,3565.3898926
11,631,0,-120.129503665000001,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,3575.7500000
12,632,0,-120.107045782000000,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,3589.4599609
13,633,0,-120.084587900000002,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,3606.6899414
14,634,0,-120.062130018000005,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,3626.3898926
15,635,0,-120.039672135999993,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,3645.7399902
16,636,0,-120.017214253999995,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,3660.5800781
17,791,0,-120.219335193000006,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,3547.8300781
