FID,FID_Fish4,Id,POINT_X,POINT_Y,FID_Unconv,NAME,SHAPEAREA,OBJECTID,NEAR_FID,NEAR_DIST,NEAR_ANGLE,NEAR_FC,RASTERVALU
0,144,0,-120.017214253999995,54.943572002099998,0,Montney Basin,26607264166.200000762939453,4,0,0.244565440632000,-119.248964684000001,CTB,249.0549927
1,306,0,-120.062130018000005,54.956469356299998,0,Montney Basin,26607264166.200000762939453,4,0,0.233872356217000,-119.248964684000001,CTB,246.8269958
2,307,0,-120.039672135999993,54.956469356299998,0,Montney Basin,26607264166.200000762939453,4,0,0.244845400385000,-119.248964684000001,CTB,247.7330017
3,308,0,-120.017214253999995,54.956469356299998,0,Montney Basin,26607264166.200000762939453,4,0,0.255818444553000,-119.248964684000001,CTB,249.5180054
4,468,0,-120.107045782000000,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,0,0.223163108348000,-119.274028281000000,CTB,242.8719940
5,469,0,-120.084587900000002,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,0,0.234144722977000,-119.274028281000000,CTB,244.9270020
6,470,0,-120.062130018000005,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,0,0.245121749548000,-119.248964684000001,CTB,246.9750061
7,471,0,-120.039672135999993,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,0,0.256094793716000,-119.248964684000001,CTB,247.9810028
8,472,0,-120.017214253999995,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,0,0.267067837884000,-119.248964684000001,CTB,249.9360046
9,629,0,-120.174419428999997,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,0,0.201461291844000,-119.274028281000000,CTB,236.8789978
10,630,0,-120.151961546999999,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,0,0.212442906473000,-119.274028281000000,CTB,238.9349976
11,631,0,-120.129503665000001,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,0,0.223424521103000,-119.274028281000000,CTB,241.2160034
12,632,0,-120.107045782000000,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,0,0.234406135732000,-119.274028281000000,CTB,242.3939972
13,633,0,-120.084587900000002,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,0,0.245387750361000,-119.274028281000000,CTB,244.7550049
14,634,0,-120.062130018000005,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,0,0.256367532877000,-119.248964684000001,CTB,247.0610046
15,635,0,-120.039672135999993,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,0,0.267340577045000,-119.248964684000001,CTB,248.1770020
16,636,0,-120.017214253999995,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,0,0.278313621213000,-119.248964684000001,CTB,250.3200073
17,791,0,-120.219335193000006,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,0,0.190737481442000,-119.274028281000000,CTB,234.6320038
18,792,0,-120.196877310999994,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,0,0.201719096072000,-119.274028281000000,CTB,235.9920044
19,793,0,-120.174419428999997,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,0,0.212700710701000,-119.274028281000000,CTB,236.8789978
20,794,0,-120.151961546999999,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,0,0.223682325330000,-119.274028281000000,CTB,238.9349976
21,795,0,-120.129503665000001,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,0,0.234663939959000,-119.274028281000000,CTB,241.2160034
22,796,0,-120.107045782000000,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,0,0.245645554589000,-119.274028281000000,CTB,242.3939972
23,797,0,-120.084587900000002,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,0,0.256627169218000,-119.274028281000000,CTB,244.7550049
24,798,0,-120.062130018000005,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,0,0.267608783847000,-119.274028281000000,CTB,247.0610046
25,799,0,-120.039672135999993,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,0,0.278582750962000,-119.248964684000001,CTB,248.1770020
26,800,0,-120.017214253999995,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,0,0.289555795130000,-119.248964684000001,CTB,250.3200073
27,952,0,-120.286708838999999,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,0,0.169028448474000,-119.274028281000000,CTB,232.0970001
28,953,0,-120.264250957000002,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,0,0.180010063103000,-119.274028281000000,CTB,231.4170074
29,954,0,-120.241793075000004,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,0,0.190991677732000,-119.274028281000000,CTB,231.5050049
30,955,0,-120.219335193000006,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,0,0.201973292362000,-119.274028281000000,CTB,232.4369965
31,956,0,-120.196877310999994,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,0,0.212954906991000,-119.274028281000000,CTB,234.1829987
32,957,0,-120.174419428999997,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,0,0.223936521620000,-119.274028281000000,CTB,235.2799988
33,958,0,-120.151961546999999,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,0,0.234918136249000,-119.274028281000000,CTB,237.7619934
34,959,0,-120.129503665000001,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,0,0.245899750879000,-119.274028281000000,CTB,240.4479980
35,960,0,-120.107045782000000,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,0,0.256881365508000,-119.274028281000000,CTB,241.8130035
36,961,0,-120.084587900000002,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,0,0.267862980137000,-119.274028281000000,CTB,244.5110016
37,962,0,-120.062130018000005,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,0,0.278844594766000,-119.274028281000000,CTB,247.0980072
38,963,0,-120.039672135999993,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,0,0.289821316057000,-119.248964684000001,CTB,248.3350067
39,964,0,-120.017214253999995,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,0,0.300794360225000,-119.248964684000001,CTB,250.6790009
40,1114,0,-120.331624603999998,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,0,0.158297422788000,-119.274028281000000,CTB,232.4559937
41,1115,0,-120.309166720999997,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,0,0.169279037417000,-119.274028281000000,CTB,231.0169983
42,1116,0,-120.286708838999999,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,0,0.180260652046000,-119.274028281000000,CTB,229.1040039
43,1117,0,-120.264250957000002,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,0,0.191242266675000,-119.274028281000000,CTB,228.5350037
44,1118,0,-120.241793075000004,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,0,0.202223881305000,-119.274028281000000,CTB,228.7380066
45,1119,0,-120.219335193000006,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,0,0.213205495934000,-119.274028281000000,CTB,230.0019989
46,1120,0,-120.196877310999994,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,0,0.224187110563000,-119.274028281000000,CTB,232.1739960
47,1121,0,-120.174419428999997,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,0,0.235168725192000,-119.274028281000000,CTB,233.5030060
