FID,FID_BCHFWe,Well_ID,LATITUDE,LONGITUDE,FID_Unconv,NAME,SHAPEAREA,OBJECTID,NEAR_FID,NEAR_DIST,NEAR_ANGLE,NEAR_FC,RASTERVALU
0,4348,4349.000000000000000,54.998463000000001,-120.118317000000005,0,Montney Basin,26607264166.200000762939453,4,151,0.166878537378000,-133.674117660000007,Faults - BCOGC Pool boundary faults,38.0065002
1,4349,4350.000000000000000,54.998463000000001,-120.118317000000005,0,Montney Basin,26607264166.200000762939453,4,151,0.166878537378000,-133.674117660000007,Faults - BCOGC Pool boundary faults,38.0065002
2,4350,4351.000000000000000,54.998463000000001,-120.118317000000005,0,Montney Basin,26607264166.200000762939453,4,151,0.166878537378000,-133.674117660000007,Faults - BCOGC Pool boundary faults,38.0065002
3,4351,4352.000000000000000,54.998463000000001,-120.118317000000005,0,Montney Basin,26607264166.200000762939453,4,151,0.166878537378000,-133.674117660000007,Faults - BCOGC Pool boundary faults,38.0065002
4,2615,2616.000000000000000,55.033563999999998,-120.026317000000006,0,Montney Basin,26607264166.200000762939453,4,151,0.259271779244000,-143.064412747000006,Faults - BCOGC Pool boundary faults,37.4252014
5,4192,4193.000000000000000,55.063518999999999,-120.202057999999994,0,Montney Basin,26607264166.200000762939453,4,151,0.181526355970000,-108.513811122999996,Faults - BCOGC Pool boundary faults,38.3422012
6,3064,3065.000000000000000,55.090840000000000,-120.061385000000001,0,Montney Basin,26607264166.200000762939453,4,151,0.273942585516000,-128.939009088000006,Faults - BCOGC Pool boundary faults,37.6603012
7,1876,1877.000000000000000,55.095047000000001,-120.091346999999999,0,Montney Basin,26607264166.200000762939453,4,151,0.259683687081000,-123.204139134000002,Faults - BCOGC Pool boundary faults,37.6767006
8,2527,2528.000000000000000,55.103242000000002,-120.059843000000001,0,Montney Basin,26607264166.200000762939453,4,151,0.284634605896000,-127.611308385000001,Faults - BCOGC Pool boundary faults,37.6603012
9,3174,3175.000000000000000,55.107967000000002,-120.049786999999995,0,Montney Basin,26607264166.200000762939453,4,151,0.294558647021000,-128.599951255999997,Faults - BCOGC Pool boundary faults,37.6603012
10,2588,2589.000000000000000,55.108615999999998,-120.072040000000001,0,Montney Basin,26607264166.200000762939453,4,151,0.281745271580000,-124.978524922999995,Faults - BCOGC Pool boundary faults,37.7065010
11,1976,1977.000000000000000,55.111761999999999,-120.190917999999996,0,Montney Basin,26607264166.200000762939453,4,151,0.230858943488000,-107.333536667000004,Faults - BCOGC Pool boundary faults,38.2897987
12,5415,5416.000000000000000,55.112473999999999,-120.062742999999998,0,Montney Basin,26607264166.200000762939453,4,151,0.290286416625000,-126.045601478999998,Faults - BCOGC Pool boundary faults,37.7029991
13,3286,3287.000000000000000,55.113025000000000,-120.372124999999997,0,Montney Basin,26607264166.200000762939453,4,151,0.248521667993000,-63.103484936500003,Faults - BCOGC Pool boundary faults,38.5163994
14,3287,3288.000000000000000,55.113025000000000,-120.372124999999997,0,Montney Basin,26607264166.200000762939453,4,151,0.248521667993000,-63.103484936500003,Faults - BCOGC Pool boundary faults,38.5163994
15,3288,3289.000000000000000,55.113025000000000,-120.372124999999997,0,Montney Basin,26607264166.200000762939453,4,151,0.248521667993000,-63.103484936500003,Faults - BCOGC Pool boundary faults,38.5163994
16,3289,3290.000000000000000,55.113025000000000,-120.372124999999997,0,Montney Basin,26607264166.200000762939453,4,151,0.248521667993000,-63.103484936500003,Faults - BCOGC Pool boundary faults,38.5163994
17,3290,3291.000000000000000,55.113025000000000,-120.372124999999997,0,Montney Basin,26607264166.200000762939453,4,151,0.248521667993000,-63.103484936500003,Faults - BCOGC Pool boundary faults,38.5163994
18,3253,3254.000000000000000,55.113478999999998,-120.063570999999996,0,Montney Basin,26607264166.200000762939453,4,151,0.290614524264000,-125.797019313000007,Faults - BCOGC Pool boundary faults,37.7029991
19,2652,2653.000000000000000,55.118482000000000,-120.087483000000006,0,Montney Basin,26607264166.200000762939453,4,151,0.281572065318000,-121.250208584999996,Faults - BCOGC Pool boundary faults,37.7097015
20,5278,5279.000000000000000,55.118763000000001,-120.212030999999996,0,Montney Basin,26607264166.200000762939453,4,151,0.232318706460000,-101.840162221000000,Faults - BCOGC Pool boundary faults,38.3278008
21,2637,2638.000000000000000,55.120567000000001,-120.184361999999993,0,Montney Basin,26607264166.200000762939453,4,151,0.241244717941000,-108.196875594999995,Faults - BCOGC Pool boundary faults,37.7258987
22,2651,2652.000000000000000,55.120677000000001,-120.207960999999997,0,Montney Basin,26607264166.200000762939453,4,151,0.235054502406000,-102.715445293000002,Faults - BCOGC Pool boundary faults,38.3278008
23,3318,3319.000000000000000,55.120896000000002,-120.172990999999996,0,Montney Basin,26607264166.200000762939453,4,151,0.245341656259000,-110.696392177999996,Faults - BCOGC Pool boundary faults,37.7258987
24,3320,3321.000000000000000,55.122585999999998,-120.050180999999995,0,Montney Basin,26607264166.200000762939453,4,151,0.305883237231000,-126.833612510999998,Faults - BCOGC Pool boundary faults,37.7029991
25,3330,3331.000000000000000,55.123218000000001,-120.064122999999995,0,Montney Basin,26607264166.200000762939453,4,151,0.298254191799000,-124.616608264000007,Faults - BCOGC Pool boundary faults,37.7029991
26,3997,3998.000000000000000,55.123274000000002,-120.079437999999996,0,Montney Basin,26607264166.200000762939453,4,151,0.289875620656000,-122.118304241999994,Faults - BCOGC Pool boundary faults,37.7065010
27,5297,5298.000000000000000,55.125010000000003,-120.070809999999994,0,Montney Basin,26607264166.200000762939453,4,151,0.296002033763000,-123.354223837999996,Faults - BCOGC Pool boundary faults,37.7065010
28,2089,2090.000000000000000,55.125560000000000,-120.164829999999995,0,Montney Basin,26607264166.200000762939453,4,151,0.252659818619000,-112.053968995999995,Faults - BCOGC Pool boundary faults,37.7057991
29,2090,2091.000000000000000,55.125560000000000,-120.164829999999995,0,Montney Basin,26607264166.200000762939453,4,151,0.252659818619000,-112.053968995999995,Faults - BCOGC Pool boundary faults,37.7057991
30,2739,2740.000000000000000,55.126531000000000,-120.100773000000004,0,Montney Basin,26607264166.200000762939453,4,151,0.281986675321000,-118.091652843999995,Faults - BCOGC Pool boundary faults,37.6907005
31,2720,2721.000000000000000,55.126635999999998,-120.074044000000001,0,Montney Basin,26607264166.200000762939453,4,151,0.295603979026000,-122.657340356999995,Faults - BCOGC Pool boundary faults,37.7430992
32,3397,3398.000000000000000,55.130527000000001,-120.063868999999997,0,Montney Basin,26607264166.200000762939453,4,151,0.304439121453000,-123.874495706999994,Faults - BCOGC Pool boundary faults,37.7445984
33,3372,3373.000000000000000,55.130783999999998,-120.135889000000006,0,Montney Basin,26607264166.200000762939453,4,151,0.269517496340000,-117.346797218000006,Faults - BCOGC Pool boundary faults,37.7207985
34,4073,4074.000000000000000,55.131498000000001,-120.091795000000005,0,Montney Basin,26607264166.200000762939453,4,151,0.290650125730000,-119.191975040000003,Faults - BCOGC Pool boundary faults,37.7417984
35,3402,3403.000000000000000,55.133060999999998,-120.445901000000006,0,Montney Basin,26607264166.200000762939453,4,125,0.303867653631000,122.525195779000001,Faults - BCOGC Pool boundary faults,37.0611992
36,3403,3404.000000000000000,55.133060999999998,-120.445901000000006,0,Montney Basin,26607264166.200000762939453,4,125,0.303867653631000,122.525195779000001,Faults - BCOGC Pool boundary faults,37.0611992
37,2769,2770.000000000000000,55.133623999999998,-120.038839999999993,0,Montney Basin,26607264166.200000762939453,4,151,0.321526092649000,-127.271969857000002,Faults - BCOGC Pool boundary faults,37.7467003
38,2164,2165.000000000000000,55.135705000000002,-120.089287999999996,0,Montney Basin,26607264166.200000762939453,4,151,0.295545585582000,-119.218471605000005,Faults - BCOGC Pool boundary faults,37.7417984
39,4104,4105.000000000000000,55.138058000000001,-120.028661999999997,0,Montney Basin,26607264166.200000762939453,4,151,0.331262571309000,-128.208447428999989,Faults - BCOGC Pool boundary faults,37.7495003
40,3460,3461.000000000000000,55.140408000000001,-120.188744000000000,0,Montney Basin,26607264166.200000762939453,4,151,0.258932318292000,-105.904085421999994,Faults - BCOGC Pool boundary faults,37.7560005
41,4135,4136.000000000000000,55.140787000000003,-120.094342999999995,0,Montney Basin,26607264166.200000762939453,4,151,0.297593658498000,-117.891349157999997,Faults - BCOGC Pool boundary faults,37.7417984
42,3438,3439.000000000000000,55.141094000000002,-120.136188000000004,0,Montney Basin,26607264166.200000762939453,4,151,0.278582826412000,-116.318039811999995,Faults - BCOGC Pool boundary faults,37.7207985
43,2871,2872.000000000000000,55.141624999999998,-120.085391000000001,0,Montney Basin,26607264166.200000762939453,4,151,0.302615070664000,-119.315291997000003,Faults - BCOGC Pool boundary faults,37.7417984
44,2888,2889.000000000000000,55.142195000000001,-120.359634999999997,0,Montney Basin,26607264166.200000762939453,4,151,0.269984907634000,-68.274803841199997,Faults - BCOGC Pool boundary faults,38.5182991
45,2889,2890.000000000000000,55.142195000000001,-120.359634999999997,0,Montney Basin,26607264166.200000762939453,4,151,0.269984907634000,-68.274803841199997,Faults - BCOGC Pool boundary faults,38.5182991
46,2232,2233.000000000000000,55.143884999999997,-120.089765000000000,0,Montney Basin,26607264166.200000762939453,4,151,0.302484096810000,-118.383242972000005,Faults - BCOGC Pool boundary faults,37.7417984
47,2233,2234.000000000000000,55.143884999999997,-120.089765000000000,0,Montney Basin,26607264166.200000762939453,4,151,0.302484096810000,-118.383242972000005,Faults - BCOGC Pool boundary faults,37.7417984
48,2208,2209.000000000000000,55.145232999999998,-120.180763999999996,0,Montney Basin,26607264166.200000762939453,4,151,0.265835275897000,-107.273346192999995,Faults - BCOGC Pool boundary faults,37.7854996
49,2858,2859.000000000000000,55.145677999999997,-120.071952999999993,0,Montney Basin,26607264166.200000762939453,4,151,0.312879900147000,-121.097869458000005,Faults - BCOGC Pool boundary faults,37.1801987
50,3515,3516.000000000000000,55.146104999999999,-120.072552999999999,0,Montney Basin,26607264166.200000762939453,4,151,0.312936495055000,-120.963422512999998,Faults - BCOGC Pool boundary faults,37.1801987
51,3544,3545.000000000000000,55.146642999999997,-120.249669999999995,0,Montney Basin,26607264166.200000762939453,4,151,0.255452778178000,-92.249915373600004,Faults - BCOGC Pool boundary faults,38.4888992
