FID,FID_Fish4,Id,POINT_X,POINT_Y,FID_Unconv,NAME,SHAPEAREA,OBJECTID,RASTERVALU
0,144,0,-120.017214253999995,54.943572002099998,0,Montney Basin,26607264166.200000762939453,4,37.2275009
1,306,0,-120.062130018000005,54.956469356299998,0,Montney Basin,26607264166.200000762939453,4,37.3583984
2,307,0,-120.039672135999993,54.956469356299998,0,Montney Basin,26607264166.200000762939453,4,37.3103981
3,308,0,-120.017214253999995,54.956469356299998,0,Montney Basin,26607264166.200000762939453,4,37.2570000
4,468,0,-120.107045782000000,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,37.9240990
5,469,0,-120.084587900000002,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,37.8688011
6,470,0,-120.062130018000005,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,37.3865013
7,471,0,-120.039672135999993,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,37.3418007
8,472,0,-120.017214253999995,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,37.2919998
9,629,0,-120.174419428999997,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,38.1186981
10,630,0,-120.151961546999999,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,38.0261002
11,631,0,-120.129503665000001,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,37.9763985
12,632,0,-120.107045782000000,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,37.9240990
13,633,0,-120.084587900000002,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,37.8688011
14,634,0,-120.062130018000005,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,37.3865013
15,635,0,-120.039672135999993,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,37.3418007
16,636,0,-120.017214253999995,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,37.2919998
17,791,0,-120.219335193000006,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,38.2546005
18,792,0,-120.196877310999994,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,38.1861000
19,793,0,-120.174419428999997,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,38.1440010
20,794,0,-120.151961546999999,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,38.0544014
21,795,0,-120.129503665000001,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,38.0065002
22,796,0,-120.107045782000000,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,37.9561996
23,797,0,-120.084587900000002,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,37.9033012
24,798,0,-120.062130018000005,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,37.4183998
25,799,0,-120.039672135999993,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,37.3776016
26,800,0,-120.017214253999995,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,37.3320999
27,952,0,-120.286708838999999,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,38.4598999
28,953,0,-120.264250957000002,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,38.4174004
29,954,0,-120.241793075000004,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,38.3296013
30,955,0,-120.219335193000006,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,38.2843018
31,956,0,-120.196877310999994,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,38.2378998
32,957,0,-120.174419428999997,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,38.1716003
33,958,0,-120.151961546999999,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,38.0853996
34,959,0,-120.129503665000001,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,38.0396004
35,960,0,-120.107045782000000,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,37.9916000
36,961,0,-120.084587900000002,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,37.9412994
37,962,0,-120.062130018000005,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,37.4537010
38,963,0,-120.039672135999993,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,37.4173012
39,964,0,-120.017214253999995,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,37.3767014
40,1114,0,-120.331624603999998,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,38.4208984
41,1115,0,-120.309166720999997,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,38.3395004
42,1116,0,-120.286708838999999,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,38.2979012
43,1117,0,-120.264250957000002,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,38.4463997
44,1118,0,-120.241793075000004,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,38.3602982
45,1119,0,-120.219335193000006,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,38.3160019
46,1120,0,-120.196877310999994,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,38.2706985
47,1121,0,-120.174419428999997,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,38.2013016
48,1122,0,-120.151961546999999,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,38.1189003
49,1123,0,-120.129503665000001,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,38.0752983
50,1124,0,-120.107045782000000,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,38.0298996
51,1125,0,-120.084587900000002,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,37.5456009
52,1126,0,-120.062130018000005,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,37.4917984
53,1127,0,-120.039672135999993,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,37.4602013
54,1128,0,-120.017214253999995,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,37.4252014
55,1276,0,-120.376540367999993,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,38.5000000
56,1277,0,-120.354082485999996,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,38.4607010
57,1278,0,-120.331624603999998,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,38.4208984
58,1279,0,-120.309166720999997,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,38.3395004
59,1280,0,-120.286708838999999,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,38.2979012
60,1281,0,-120.264250957000002,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,38.4463997
61,1282,0,-120.241793075000004,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,38.3602982
62,1283,0,-120.219335193000006,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,38.3160019
63,1284,0,-120.196877310999994,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,38.2706985
64,1285,0,-120.174419428999997,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,38.2013016
65,1286,0,-120.151961546999999,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,38.1189003
66,1287,0,-120.129503665000001,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,38.0752983
67,1288,0,-120.107045782000000,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,38.0298996
68,1289,0,-120.084587900000002,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,37.5456009
69,1290,0,-120.062130018000005,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,37.4917984
70,1291,0,-120.039672135999993,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,37.4602013
71,1292,0,-120.017214253999995,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,37.4252014
72,1438,0,-120.421456132000003,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,38.4809990
73,1439,0,-120.398998250000005,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,38.5705986
74,1440,0,-120.376540367999993,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,38.5321007
75,1441,0,-120.354082485999996,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,38.4930000
76,1442,0,-120.331624603999998,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,38.4533997
77,1443,0,-120.309166720999997,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,38.3728981
78,1444,0,-120.286708838999999,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,38.3319016
79,1445,0,-120.264250957000002,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,38.2905006
80,1446,0,-120.241793075000004,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,38.3927002
81,1447,0,-120.219335193000006,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,38.3494987
82,1448,0,-120.196877310999994,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,38.3055992
83,1449,0,-120.174419428999997,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,38.2608986
84,1450,0,-120.151961546999999,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,38.1547012
85,1451,0,-120.129503665000001,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,38.1134987
86,1452,0,-120.107045782000000,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,38.0709000
87,1453,0,-120.084587900000002,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,37.5772018
88,1454,0,-120.062130018000005,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,37.5321007
89,1455,0,-120.039672135999993,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,37.5059013
90,1456,0,-120.017214253999995,55.046635004300001,0,Montney Basin,26607264166.200000762939453,4,37.4766998
