FID,FID_Fish4,Id,POINT_X,POINT_Y,FID_Unconv,NAME,SHAPEAREA,OBJECTID,RASTERVALU
0,144,0,-120.017214253999995,54.943572002099998,0,Montney Basin,26607264166.200000762939453,4,23.6658993
1,306,0,-120.062130018000005,54.956469356299998,0,Montney Basin,26607264166.200000762939453,4,23.6049004
2,307,0,-120.039672135999993,54.956469356299998,0,Montney Basin,26607264166.200000762939453,4,23.6049004
3,308,0,-120.017214253999995,54.956469356299998,0,Montney Basin,26607264166.200000762939453,4,23.6049004
4,468,0,-120.107045782000000,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,23.6313000
5,469,0,-120.084587900000002,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,23.6049004
6,470,0,-120.062130018000005,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,23.6049004
7,471,0,-120.039672135999993,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,23.6049004
8,472,0,-120.017214253999995,54.969362572300000,0,Montney Basin,26607264166.200000762939453,4,23.6049004
9,629,0,-120.174419428999997,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,23.6805000
10,630,0,-120.151961546999999,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,23.6805000
11,631,0,-120.129503665000001,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,23.6313000
12,632,0,-120.107045782000000,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,23.6313000
13,633,0,-120.084587900000002,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,23.6049004
14,634,0,-120.062130018000005,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,23.6049004
15,635,0,-120.039672135999993,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,23.6049004
16,636,0,-120.017214253999995,54.982251650899997,0,Montney Basin,26607264166.200000762939453,4,23.6049004
17,791,0,-120.219335193000006,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,23.7191010
18,792,0,-120.196877310999994,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,23.7191010
19,793,0,-120.174419428999997,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,23.6403999
20,794,0,-120.151961546999999,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,23.6403999
21,795,0,-120.129503665000001,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,23.5806999
22,796,0,-120.107045782000000,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,23.5806999
23,797,0,-120.084587900000002,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,23.5485992
24,798,0,-120.062130018000005,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,23.5485992
25,799,0,-120.039672135999993,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,23.5492001
26,800,0,-120.017214253999995,54.995136592500003,0,Montney Basin,26607264166.200000762939453,4,23.5492001
27,952,0,-120.286708838999999,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,23.9023991
28,953,0,-120.264250957000002,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,23.8085995
29,954,0,-120.241793075000004,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,23.8085995
30,955,0,-120.219335193000006,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,23.7191010
31,956,0,-120.196877310999994,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,23.7191010
32,957,0,-120.174419428999997,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,23.6403999
33,958,0,-120.151961546999999,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,23.6403999
34,959,0,-120.129503665000001,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,23.5806999
35,960,0,-120.107045782000000,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,23.5806999
36,961,0,-120.084587900000002,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,23.5485992
37,962,0,-120.062130018000005,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,23.5485992
38,963,0,-120.039672135999993,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,23.5492001
39,964,0,-120.017214253999995,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,23.5492001
40,1114,0,-120.331624603999998,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,24.0202007
41,1115,0,-120.309166720999997,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,23.9023991
42,1116,0,-120.286708838999999,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,23.9023991
43,1117,0,-120.264250957000002,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,23.8085995
44,1118,0,-120.241793075000004,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,23.8085995
45,1119,0,-120.219335193000006,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,23.7191010
46,1120,0,-120.196877310999994,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,23.7191010
47,1121,0,-120.174419428999997,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,23.6403999
48,1122,0,-120.151961546999999,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,23.6403999
49,1123,0,-120.129503665000001,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,23.5806999
50,1124,0,-120.107045782000000,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,23.5806999
51,1125,0,-120.084587900000002,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,23.5485992
52,1126,0,-120.062130018000005,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,23.5485992
53,1127,0,-120.039672135999993,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,23.5492001
54,1128,0,-120.017214253999995,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,23.5492001
55,1276,0,-120.376540367999993,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,24.1375008
56,1277,0,-120.354082485999996,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,24.0202007
57,1278,0,-120.331624603999998,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,24.0202007
58,1279,0,-120.309166720999997,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,23.9023991
59,1280,0,-120.286708838999999,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,23.9023991
60,1281,0,-120.264250957000002,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,23.8085995
61,1282,0,-120.241793075000004,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,23.8085995
62,1283,0,-120.219335193000006,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,23.7191010
63,1284,0,-120.196877310999994,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,23.7191010
64,1285,0,-120.174419428999997,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,23.6403999
65,1286,0,-120.151961546999999,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,23.6403999
66,1287,0,-120.129503665000001,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,23.5806999
